weak_word,strong_word
very,extremely
good,excellent
bad,poor
big,substantial
small,minimal
many,numerous
few,limited
important,crucial
interesting,fascinating
nice,exceptional
happy,delighted
sad,disappointed
angry,furious
scared,terrified
tired,exhausted
hungry,starving
beautiful,stunning
ugly,unattractive
smart,intelligent
stupid,unwise
lazy,unmotivated
busy,engaged
rich,wealthy
poor,impoverished
old,experienced
new,innovative
easy,straightforward
hard,challenging
fast,rapid
slow,gradual
loud,boisterous
quiet,silent
hot,scorching
cold,freezing
wet,saturated
dry,arid
clean,spotless
dirty,filthy
full,complete
empty,vacant
strong,powerful
weak,feeble
tall,towering
short,compact
fat,overweight
thin,slim
young,youthful
mature,experienced
simple,basic
complex,intricate
cheap,inexpensive
expensive,costly
rare,uncommon
common,prevalent
possible,feasible
impossible,unattainable
necessary,essential
unnecessary,superfluous
correct,accurate
incorrect,erroneous
complete,thorough
incomplete,partial
clear,transparent
unclear,ambiguous
specific,precise
general,broad
direct,straightforward
indirect,circuitous
active,dynamic
passive,inactive
positive,optimistic
negative,pessimistic
real,authentic
fake,artificial
natural,organic
artificial,synthetic
physical,tangible
mental,intellectual
social,communal
personal,individual
public,accessible
private,confidential
local,regional
global,worldwide
temporary,provisional
permanent,lasting
regular,consistent
irregular,sporadic
normal,standard
abnormal,atypical
typical,characteristic
unique,distinctive
usual,conventional
unusual,exceptional
basic,fundamental
advanced,sophisticated
beginning,initial
ending,final
starting,commencing
stopping,concluding
creating,developing
destroying,eliminating
building,constructing
breaking,dismantling
giving,providing
taking,acquiring
making,producing
breaking,disrupting
using,utilizing
wasting,squandering
saving,conserving
spending,investing
earning,generating
losing,forfeiting
winning,achieving
losing,failing
playing,participating
working,performing
resting,relaxing
sleeping,reposing
eating,consuming
drinking,imbibing
walking,strolling
running,sprinting
talking,communicating
listening,attending
watching,observing
looking,examining
touching,contacting
feeling,experiencing
thinking,contemplating
knowing,understanding
believing,trusting
doubting,suspecting
hoping,aspiring
fearing,dreading
loving,adoring
hating,despising 
